Audi AG&lt;ref name=artinc /&gt;	1932	Ingolstadt
Aston Martin Lagonda Limited	1913	Gaydon, Warwickshire
Bayerische Motoren Werke AG	1916	Munich, Bavaria
Bugatti	1909	Molsheim, Alsace
The Birmingham Small Arms Company Limited (BSA)	1861	Birmingham
Bentley Motors Limited	1919	Crewe, England
FCA US LLC	1925	Auburn Hills, Michigan, U.S.
Datsun	1931	Harris County, Texas|Harris County, Texas
DKW	1916	Bologna
Ferrari S.p.A.	1947	 Maranello
General Motors Company	1908	Detroit, Michigan
GM Holden Ltd	1856	Fairfield, Connecticut
Honda Motor Co., Ltd.	1946	Fairfield, Connecticut
	1992	Hearst Tower (New York City)|Hearst Tower&lt;br/&gt;Midtown Manhattan&lt;br /&gt;New York City
Jeep	1941	Croydon
Automobili Lamborghini S.p.A.{{Sfn|Volkswagen AG|2012|p=151}}	1963	Sant'Agata Bolognese
JSC AvtoVAZ Common	1966	Sant'Agata Bolognese
Land Rover	1948	Whitley, Coventry
Mazda Motor Corporation	1920	Microsoft Redmond Campus, Redmond, Washington
Nissan Motor Co., Ltd.	1933	Kyoto
Adam Opel AG	1862	Rüsselsheim, Hesse
REO Motor Car Company 	1905	Hollywood, California
Toyota Motor Corporation	1937	Chicago, Illinois
[[File:Volvo logo.svg|center|200px|Volvo logo]]	1927	Shinjuku, Tokyo
Volkswagen Aktiengesellschaft	1937	Wolfsburg
Alfa Romeo Automobiles S.p.A.	1910	 Turin
[[File:Chevypnglogo.png|200px]]	1911	Detroit, Michigan
Buick 	1899	Detroit
Hyundai Motor Company	1967	Seoul
Dodge	1900	Auburn Hills, Michigan
 Daimler AG	1998	Auburn Hills, Michigan
Fiat S.p.A.	1899	Washington, D.C.
Automobiles Citroën S.A.	1919	Saint-Ouen, Seine-Saint-Denis|Saint-Ouen&lt;ref&gt;&quot;http://www.humanite.fr/2006-10-28_Societe_Saint-Ouen-retrouve-son-fleuve-la-Seine Saint-Ouen retrouve son fleuve, la Seine.&quot; ''l'Humanité''. 28 October 2006. Retrieved on 3 February 2010. &quot;La mort lente des petites entreprises, la délocalisation des plus importantes ont transformé Saint-Ouen. Il ne reste en centre-ville que l’usine Citroën.&quot;&lt;/ref&gt;
Oldsmobile	1897	
Kawasaki Heavy Industries, Limited	1896	
Maserati S.p.A.	1914	 Modena
Cadillac 	1902	New York City, New York, United States
Gorky Automobile Plant&lt;br&gt;Го́рьковский автомоби́льный заво́д&lt;br&gt;([[doing business as|trading as]] GAZ)	1932	
Zaporizhia Automobile Building Plant	1923	Zaporizhia
TATRA TRUCKS A.S.	1850	Zaporizhia
[[Oakland County, Michigan|Oakland County]], [[Pontiac, Michigan]], [[United States]] ({{Start date|1926 (1908)}})	1926	Noale
Compagnie Générale des Établissements Michelin SCA	1889	Clermont-Ferrand
AC Cars Group Ltd.	1901	 Thames Ditton, Surrey
Jaguar Cars	1922	Whitley, Coventry
Hupp Motor Company	1909	Detroit, Michigan
Overland Automobile Company	1903	Detroit, Michigan
Winton Motor Carriage Company	1897	Cleveland, Ohio
White Motor Company	1900	Cleveland, Ohio
padding:3em;	1985	Rochester, Minnesota
Renault S.A.	1899	Boulogne-Billancourt
Alpine	1955	
Facel SA	1939	
Ligier	1968	Abrest
Simca	1934	New York City
SEAT, S.A.&lt;ref&gt;{{cite web|url=http://www.seat.com/com/generator/su/com/SEAT/site/legal-note/main.html |title=Legal note |publisher=SEAT.com |date= |accessdate=2010-09-25}}&lt;/ref&gt;	1950	
Borgward	1929	
Bristol Cars Limited	1945	Bristol
Lotus Cars Limited	1952	Hethel, Norfolk
The MG Car Company Limited	1924	Fornebu, Norway and Garrison, Michigan, United States|U.S.
Proton Holdings Berhad	1983	Pontedera
Iveco S.p.A.	1975	Pontedera
Eagle	1988	Auburn Hills, Michigan
American Motors Corporation	1954	Auburn Hills, Michigan
Packard	1899	Camden, New Jersey
AM General	1971	South Bend, Indiana, U.S.&lt;ref name=amgdirectory&gt;{{cite web| url=http://www.amgeneral.com/corporate/directory.php | title=AM General Corporate Directory | accessdate=5 September 2010 | archiveurl= http://web.archive.org/web/20100901064240/http://www.amgeneral.com/corporate/directory.php| archivedate= 1 September 2010 | deadurl= no}}&lt;/ref&gt;
Edsel	1957	Seattle|Seattle, Washington
Detroit Electric	1907	Detroit, Michigan
Studebaker Corporation	1852	One Astor Plaza&lt;br&gt;Manhattan, New York City, New York
General Motors UK Limited&lt;br /&gt;([[doing business as|trading as]] Vauxhall Motors)	1857	Luton, Bedfordshire, UK
TVR Automotive Limited	1947	Neuilly-sur-Seine
F.A.O. Schwarz	1862	Springfield, Massachusetts
	1935	Ōta, Tokyo 
 Mitsubishi Motors Corporation	1970	Delaware
Kia Motors Corporation	1944	Delaware
Mitsubishi Fuso Truck and Bus Corporation&lt;br&gt;&lt;span lang=&quot;ja&quot;&gt;三菱ふそうトラック・バス株式会社&lt;/span&gt;	1932	Irving, Texas|Irving, Texas
Morris Motors Limited	1912	Stockholm, Sweden
Curtiss-Wright Corporation	1929	
	1928	
Daihatsu Motor Co., Ltd.	1907	Irvine, California|Irvine, California
Maxwell Motor Company	1904	Toronto
Autobianchi	1955	Towson, Maryland|Towson, Maryland
Caterham Cars Ltd	1963	Crawley, Sussex
MG Rover Group 	2000	Crawley, Sussex
      <model>wikitext</model>
	1906	Harrogate, Yorkshire, 
Locomobile Company of America	1899	Harrogate, Yorkshire, 
Paige	1908	Harrogate, Yorkshire, 
Nash Motors	1916	Harrogate, Yorkshire, 
Pierce-Arrow	1901	Buffalo, New York
Plymouth	1928	
Mercury	1938	Dearborn, Michigan|Dearborn, Michigan
The Daimler Company Limited	1896	{{coord|40|44|36|N|73|59|36|W|type:landmark_region:US-NY|display=inline,title}}&lt;br /&gt;New York City
Henry Ford Company	1901	Sydney, New South Wales
Officine Meccaniche	1899	White Cross, Guiseley, West Yorkshire
Rover Company	1885	Luxembourg City
      <model>wikitext</model>
	1966	Hilversum
The British Motor Corporation Limited	1952	Hamburg
Kaiser Motors	1945	Willow Run
AAA	1902	1000 AAA Drive
Yes Yamaha	1887	Hamamatsu, Shizuoka Prefecture|Shizuoka
Franklin Automobile Company	1852	St. Louis, Missouri
AA plc	1905	 Halifax, West Yorkshire|Halifax |
GMC	1901	Detroit
The Austin Motor Company Limited	1905	Boston, Massachussets 
Hughes Aircraft Company	1932	Culver City, California|Culver City, El Segundo, California|El Segundo and Westchester, Los Angeles|Westchester
The Rover Group plc	1986	Belfast
British Motor Holdings Limited	1966	Belfast
Central Japan Railway Company&lt;br /&gt;東海旅客鉄道株式会社	1987	JR Central Towers &lt;br /&gt; 1-1-4 Meieki, Nakamura-ku, Nagoya, Aichi 450-6101
HRL Laboratories, LLC	1940	Malibu, California|Malibu, CA
Pyeonghwa Motors&lt;br /&gt;&lt;small&gt;''Pyeonghwa Jadongcha''&lt;br /&gt;평화자동차&lt;/small&gt;	1999	Seoul
SsangYong Motor Company	1954	Seoul
Renault Samsung Motors Co., Ltd.	1994	Seoul
GM Korea Company	2011	Bupyeong-gu, Incheon
Marmon Motor Car Company	1902	Dornbirn
Hudson Motor Car Company	1909	Dornbirn
Triumph Motor Company	1885	Dornbirn
American Locomotive Company	1901	Schenectady, New York
Crawford Automobile Company	|foundation       = 
	Hagerstown, Maryland
[[File:Volvo Cars logo.png|center|150px|Volvo Cars logo]]	1927	Madrid
The Riley Cycle Company Limited (1896–1912)&lt;br&gt;Riley (Coventry) Limited (1912–1950)&lt;br&gt;Riley Motors Limited (1950–1960)	1896	Portland, Oregon
Hindustan motor limited	1942	Bloomfield, Connecticut
Morgan Motor Company	1910	Malvern, Worcestershire|Malvern
	1891	
Kissel Motor Car Company  	1907	Boston, Massachusetts
Mitsubishi Motors North America, Inc. (MMNA) Manufacturing Division	1985	
Auto Union AG	1932	Uppsala, Sweden and Cupertino, California, United States|U.S.
Alliant Techsystems Inc.	1990	Irvine, California
 Hyundai Motor Group	2000	Irvine, California
Hyundai&lt;br /&gt;&lt;small&gt;{{lang|ko|현대}}&lt;/small&gt;&lt;br /&gt;&lt;small&gt;{{lang|ko|現代}}&lt;/small&gt;	1947	Mexico City
Marcos Engineering Ltd.	1959	Kenilworth
Microsoft Studios	2002	Kenilworth
Phoenix Venture Holdings Ltd	2000	Kenilworth
American Austin Car Company	1929	Hsinchu Science and Industrial Park
FCA Canada Inc	1925	Windsor, Ontario|Windsor, Ontario, Canada
Hispano-Suiza	1904	Charlotte, North Carolina&lt;br&gt;Dallas|Dallas, Texas
Pegaso	1946	
Puch AG	1889	Sydney
Rootes Group	1913	Coventry
Hillman Motor Car Company	1907	
 Magna International Inc.	1957	Brooklyn Center, Minnesota
Isuzu Motors Ltd.&lt;br&gt; Isuzu Jidōsha Kabushiki-Kaisha	1916	New York, New York
Nissan Motorsport Ltd. (Nismo)	1984	Tokyo
The Estée Lauder Companies Inc.	1946	Hamala, Bahrain|Hamala
LaSalle 	1927	
Westfield Sportscars Ltd	1982	Kingswinford|Dudley Road, Kingswinford
Leyland Motors Ltd	1896	Pontedera
Iran Khodro Industrial Group	1962	
United Services Automobile Association	1922	Rome
Allison Engine Company	| foundation       = 
	
Big O Tires	1962	Palm Beach Gardens, Florida
Suzuki Motor Corporation	1909	 Hamamatsu, Shizuoka Prefecture|Shizuoka
Austin Rover Group Limited	1982	Brussels
Kremenchutsky Avtomobilny Zavod&lt;br /&gt;''KrAZ'' or ''AvtoKrAZ''	1946	Kremenchuk
Geo	1989	Houston, Texas
Continental Motors, Inc.	1929	
Holden Special Vehicles	1988	Saint John, New Brunswick
Firestone Tire and Rubber Company (Bridgestone Americas, Inc.)	1908	Nashville, Tennessee
Saab Automobile AB	1945	Trollhättan
Noble Automotive Ltd.	| foundation = | founder = [[Lee Noble]] in [[Leeds]]
	Leicester | location_country = England| key_people = Peter Boutwood – managing director &lt;span style=&quot;font-variant:small-caps&quot;&gt;&lt;/span&gt;&lt;br /&gt;&lt;span style=&quot;font-variant:small-caps&quot;&gt;&lt;/span&gt;
BRP Inc.	1942	
	1905	St. Louis, Missouri
Jensen Motors, Ltd	1934	Athens
Talbot	1903	41 rue Martre, 92110 Clichy, Hauts-de-Seine|Clichy
	1947	Rho, Lombardy|Rho
Société Anonyme Minerva Motors	1900	
K-R-I-T Motor Car Company	1909	Detroit, Michigan
Richard-Brasier	|foundation    = 190x
	Medford, Oregon 
Brasier	1905	Ivry-sur-Seine|Ivry, France (factory)
Merkur	1985	Duncansville, Pennsylvania|Duncansville,&lt;ref&gt;{{cite news|agency=Associated Press|url=http://news.google.com/newspapers?id=pwdlAAAAIBAJ&amp;sjid=53cNAAAAIBAJ&amp;pg=5171,3238155&amp;dq=hoss%27s+steak+and+sea+house+duncansville&amp;hl=en|title=Steer sold for $17,000 at state Farm Show|date=1994-01-14|publisher=''Observer–Reporter''|accessdate=2013-02-04}}&lt;/ref&gt; Pennsylvania
NUMMI	1984	
Unic	1905	Puteaux, France 
Stanley Motor Carriage Company	1902	Duke Street, Glasgow, G31 1JD|Duke Street, Glasgow
Muntz Car Company	1951	Glendale, California|Glendale, California 
Du Pont Motor Company	1919	Wilmington, DE 1919 - 1923&lt;br&gt;Moore, PA 1923 - 1932
Crossley Motors	1906	Marin-Epagnier
Alvis Car and Engineering Company Ltd	1919	Coventry
Ford Motor Company of New Zealand Limited	1936	&lt;!--modifies &quot;Headquarters&quot; entry--&gt;
State Farm Insurance	1922	Bloomington, Illinois
McLaren Technology Group Limited	1985	Tewksbury, Massachusetts
The Dayton Motor Car Company	1905	Dayton, Ohio
      <model>wikitext</model>
	1992	Vienna
Abbott-Detroit Motor Car Company	1909	Woburn, Massachusetts
ABC	1905	Woburn, Massachusetts
Arthur-Boynton Company	1922	Woburn, Massachusetts
Able	1917	Woburn, Massachusetts
Apex Motor Car Co.; Apex Motor Corp.	1920	Ypsilanti, Michigan
Acme Motor Car Company	1892	Ypsilanti, Michigan
Aerocar	1905	Ypsilanti, Michigan
Peterbilt Motors Company	1939	Ypsilanti, Michigan
Airway	1949	Ypsilanti, Michigan
Ajax	1921	Ypsilanti, Michigan
Aland	1916	Wolverhampton
Amilcar	1921	Brisbane
Mercedes-AMG GmbH	1967	Affalterbach
ANADOL	1966	Istanbul
Clément-Bayard	1903	Istanbul
Aquila Italiana	1906	Madrid
Ardsley Motor Car Company	1905	Madrid
Austro-Daimler AG	1899	Wiener Neustadt
Ballot	1905	East Setauket, New York
S.P.A.&lt;br&gt;Società Piemontese Automobili	1906	
Tata Motors Limited	1945	
Brabus	1977	Toronto, Ontario
Duesenberg Automobile &amp; Motors Company, Inc.	1913	Auburn, Indiana|Auburn, Indiana
SAIC Motor Corporation Limited	2011	Shanghai
'''Zhejiang Geely Holding Group Co., Ltd'''	1986	Shanghai
Shanghai General Motors Company Ltd	1997	Shanghai
Jiangling Motors Corporation Limited	1952	Nanchang
Changan Ford Mazda Automobile Co., Ltd.	2001	Chongqing
Automobiles M. Berliet	1899	Vénissieux, France
Rickenbacker Motor Company	1921	Lincolnshire, Illinois
Wanderer	1896	Budapest
MAGNA STEYR AG &amp; Co KG	2001	Graz
Daewoo Motors	1937	Bupyeong-gu, Incheon
Flexcar	2000	Launceston, Tasmania
Ashok Leyland Limited	1948	 Cleveland, Ohio (HQ 1993 to dissolution)&lt;br /&gt;Dallas, Texas (Founded)
Auburn Automobile Company	|foundation       = Auburn, Indiana
	Auburn, Indiana
ABC Motors	1912	Fredericia
Checker Motors Corporation	1922	London
Laurin &amp; Klement|	1895	Chattanooga, Tennessee|Chattanooga, Tennessee
Detroit Diesel Corporation	1938	Detroit, Michigan
Global Electric Motorcars	|foundation       =
	 Fargo, North Dakota
Getrag	1935	Untergruppenbach
Maruti Suzuki India Limited	1981	Kronberg im Taunus
Aerocar International	|foundation    =
	Helsinki
Prince Motors, Ltd.&lt;ref name=&quot;katsuragi&quot;&gt;KATSURAGI, Yoji &quot;The Beam of the Light of the Prince Motor Company&quot; Grand Prix Book Publishing Co., Ltd., October 22, 2003 (Japanese) ISBN 4-87687-251-1&lt;/ref&gt;	1947	Lod
Asuna	1993	New York City, New York
Aixam-Mega	1983	Aix-les-Bains, Savoie
De Dion–Bouton	1883	
Chrysler Europe	1967	Paris, France
Singer Motors Limited	1875	Coventry 
Humber	1868	Coventry 
	1905	Coventry 
LDV Group Limited	1993	Washwood Heath, Birmingham, West Midlands (county)|West Midlands, England
OnStar Corporation	1995	Detroit, Michigan
Pan Asia Technical Automotive Center Co. Ltd	1997	Pudong, Shanghai
Proto Motors &lt;br&gt; {{small|프로토자동차}}	1997	New Hartford, Connecticut
VM Motori S.p.A.	1947	Rydalmere, New South Wales|Rydalmere, NSW
Offenhauser	1934	
ARO S.A.	1957	  Seoul
 International Speedway Corporation|	1953	Pistoia
Speedway Motorsports|	1994	Pistoia
Peugeot S.A.	1976	Paris
Bellasi srl	1966	Brussels
Cisitalia	1946	
Prodrive	1984	Quincy, Massachusetts
Carpenter Industries, Inc.	1919	Mitchell, Indiana (1919-1995) &lt;br /&gt; Richmond, Indiana (1995-2001)
Pars Khodro	1967	Mitchell, Indiana (1919-1995) &lt;br /&gt; Richmond, Indiana (1995-2001)
      <model>wikitext</model>
	1966	Mitchell, Indiana (1919-1995) &lt;br /&gt; Richmond, Indiana (1995-2001)
Asia Motors Industries Co., Ltd.	1965	
	1895	
Jordan Motor Car Company	1916	Cleveland, Ohio
Subaru Tecnica International	1988	Mitaka, Tokyo
Iso Autoveicoli S.p.A.	1953	Portland, Oregon
Yulon Motor&lt;br&gt;裕隆汽車	1953	Charlottesville, Virginia
Johnson Control, Inc.	1885	
奇瑞汽车股份有fast growing developing限公司	1997	Melbourne
Isotta Fraschini	1900	Milan
Dorris Motor Car Company	1906	St. Louis, Missouri 
Bizzarrini S.p.A.	1964	Quincy, Massachusetts
	1971	
Peerless Motor Company	1900	Cleveland, Ohio
Kaiser Jeep	1953	New Haven, Connecticut
Durant Motors	1921	Athens
China Motor Corporation&lt;br&gt;中華汽車工業股份有限公司	1969	Mondragón
Fabryka Samochodów Osobowych	1951	Warsaw, Poland
CAMI Automotive	1986	Malmö
HuaChen Group Auto Holding Co., Ltd.	| foundation       =
	Shenyang, Liaoning
BYD Auto Co., Ltd.&lt;br /&gt;比亚迪汽车	2003	Shenzhen, Guangdong Province|Guangdong
Fornasari	1999	200 5th Ave, New York, NY 10010
Isdera	1969	Hildesheim
Oakland	1907	Pontiac, Michigan
[[File:Saleen Logo.jpg|250px]]	1983	Corona, California
Ukrainian Automobile Corporation JSC	1969	Kiev
GM-AVTOVAZ 	2001	Shinjuku, Tokyo
ROMAN S.A.	| foundation = 
	Shinjuku, Tokyo
AMAG Automobil- und Motoren AG |	1945	Philadelphia, Pennsylvania
The Lanchester Motor Company Limited	1899	(to 1930) Armourer Mills Birmingham
Evinrude |	1907	Kent, Washington
Delhi Transport Corporation	1948	Delhi
Visteon Corporation	2000	Amsterdam
Jiangxi Changhe Automobile Co Ltd	1970	Salisbury, North Carolina
Wolseley Motors	1901	Fort Collins, Colorado
TAG Group (Holdings) S.A.	1977	Luxembourg City
Monteverdi	1967	Auckland
Thielert AG	| foundation       = 
	Hamburg
Girardin Minibus	1935	 3000 Girardin&lt;br /&gt;Drummondville, Quebec J2E 0A1      
Ford Motor Company Philippines	1929	Santa Rosa City, Laguna (province)|Laguna
Venturi Automobiles	1984	 Fontvieille, Monaco
Bufori Motor Car Company	1986	Kepong, Kuala Lumpur
Wiesmann GmbH	1988	Philadelphia, Pennsylvania|Philadelphia, Pennsylvania
Bugatti Automobiles S.A.S.	1998	Molsheim
Eicher Motors Limited 	1948	Bangalore, Karnataka 
Ford Performance Vehicles	2002	Steenhuffel
Cycle and Carriage	1899	Beijing
Cycle and Carriage	1899	Beijing
Baker Motor Vehicle Company	1899	
Eisenhuth Horseless Vehicle Company	|foundation       = 
	New York City
Covert Motor Vehicle Company	1901	Rochester, New York 
Elmore Manufacturing Company	1893	Initially in Elmore, Ohio and then Clyde, Ohio
Grout Brothers	1899	Orange, Massachusetts 
Knox Automobile Company	1900	Orange, Massachusetts 
Northern Automobile Company	|foundation = 
	Detroit, Michigan, 
|company_name
	1893	Waltham, Massachusetts
Royal Motor Company	1904	Cleveland, Ohio
St. Louis Motor Carriage Company	1898	St. Louis, Missouri and later Peoria, Illinois
F. B. Stearns Company	1898	Cleveland, Ohio 
Kirk Manufacturing Company 	|foundation       = 
	Toledo, Ohio
Charoen Pokphand Group&lt;br /&gt;เครือเจริญโภคภัณฑ์	1999	Oklahoma City
STILLEN	1986	Costa Mesa, California
Electro-Motive Diesel, Inc.	1922	La Grange, Illinois{{#tag:ref|The plant and headquarters commonly referred to as being in &quot;La Grange, Illinois&quot; are actually within the Chicago suburb McCook, Illinois, but uses a postal address of La Grange.&lt;ref name=&quot;lamc&quot;/&gt;|group=&quot;note&quot;|name=&quot;mccook&quot;}}
Ford Motor Credit Company	1959	Bank of America Center (Los Angeles)|Bank of America Center&lt;br&gt;Los Angeles, California
Toyota Peugeot Citroën Automobile Czech	2002	Kolín
KR Motors Co. Ltd.|	1978	Sheffield
Lister Motor Company Ltd	1954	Cambridge
Ruf Automobile GmbH	1939	Gdańsk
Renntech|	1989	
Mitsubishi Motors Australia Limited	1980	Seoul, South Korea
[[File:A logo for the Elva manufacturer of racing prototypes.gif|125px| Elva racing car manufacturer logo.]]	1955	Bexhill, Sussex
Belsize Motors	1897	Woodbury, Nassau County, New York|Woodbury, New York
Albion Motors	1899	Glasgow
Dainese SpA|	1972	Vicenza|
Vector Motors Corporation |	1971	Syracuse, New York
Crouch Cars Ltd.	1912	Coventry
Scammell Ltd	1896	Rancho Cucamonga, California
Horch AG	1904	Luton, Bedfordshire
Harbin HF Automobile Industry Group Co Ltd&lt;br/&gt; 哈飞汽车	1950	Harbin
Nanjing Automobile (Group) Corporation &lt;br&gt;南京汽车集团有限公司 or 南京汽車集團有限公司	1947	Nanjing
Itala	1904	Leicester
Lozier Motor Company	1900	Detroit, Michigan
Toyota Motor Manufacturing Texas, Inc	2003	San Antonio, Texas
Icahn Enterprises L.P.	| foundation       = &lt;!-- City, Country ({{Start date|YYYY|MM|DD}}) --&gt;
	New York 
Hino Motors, Ltd.&lt;br /&gt;日野自動車株式会社	1942	Hangzhou
Landwind &lt;br/&gt; 陆风汽车	2004	Nanchang City, Jiangxi province
Collier Motors	1955	
Alpina Burkard Bovensiepen GmbH	1965	El Segundo, California
Samsung	1938	El Segundo, California
Lutsky Avtomobilnny Zavod - LuAZ	1955	Lutsk
Nissan Motor Manufacturing (UK) Ltd.	1984	Sunderland, Tyne and Wear
JAWA Moto	1929	Týnec nad Sázavou
Gilbern Sports Cars (Components) Ltd	1959	Haifa
Kinetic Honda	1984	
Cherry Corporation	1950	 Auerbach in der Oberpfalz|Auerbach i. d. Oberpf.
Ginetta Cars Limited	1958	Leeds, West Yorkshire
Bedford Vehicles	1930	Luton
Hero Motocorp Ltd	1982	
Ford Motor Company of Canada	1904	Oakville, Ontario
Premier Motor Manufacturing Company	1903	Indianapolis, Indiana
William Beardmore and Company, Ltd.	1887	Indianapolis, Indiana
VDL Nedcar B.V.	1967	Morris County, New Jersey
Ralliart Inc.	1984	London
DeSoto	1928	Milpitas, CA
Norddeutsche Automobil und Motoren GmbH	1908	Hobart, Tasmania 
Goliath-Werke Borgward &amp; Co.	1928	Bremen (city)|Bremen
Hansa-Lloyd	1905	
Spyker Cars	1999	 Zeewolde
Hartge |	1971	Bethesda, Maryland|Bethesda, Maryland
General Motors of Canada Limited	1918	Oshawa, Ontario
Lloyd Cars Ltd	1936	 Tirat Carmel, Israel&lt;br&gt; Dallas, USA|
Utilimaster Corporation	1973	Bristol, IN
Denso Corporation	1949	
Dongfeng Motor Company Limited	2003	Wuhan, Hubei
